--2016-10-02 17:23:31--  http://10.0.0.2:5001/625M.log
Connecting to 10.0.0.2:5001... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.2’

     0K .......... .......... .......... .......... ..........  0% 13.9M 45s
    50K .......... .......... .......... .......... ..........  0% 11.1M 51s
   100K .......... .......... .......... .......... ..........  0% 12.4M 51s
   150K .......... .......... .......... .......... ..........  0% 10.2M 53s
   200K .......... .......... .......... .......... ..........  0% 17.7M 50s
   250K .......... .......... .......... .......... ..........  0% 9.50M 52s
   300K .......... .......... .......... .......... ..........  0% 17.0M 50s
   350K .......... .......... .......... .......... ..........  0% 9.13M 52s
   400K .......... .......... .......... .......... ..........  0% 9.10M 54s
   450K .......... .......... .......... .......... ..........  0% 14.8M 53s
   500K .......... .......... .......... .......... ..........  0% 8.98M 55s
   550K .......... .......... .......... .......... ..........  0% 14.5M 54s
   600K .......... .......... .......... .......... ..........  0% 11.4M 54s
   650K .......... .......... .......... .......... ..........  0% 9.84M 54s
   700K .......... .......... .......... .......... ..........  0% 12.9M 54s
   750K .......... .......... .......... .......... ..........  0% 12.7M 54s
   800K .......... .......... .......... .......... ..........  0% 13.3M 53s
   850K .......... .......... .......... .......... ..........  0%  246K 3m14s
   900K .......... .......... .......... .......... ..........  0%  569M 3m4s
   950K .......... .......... .......... .......... ..........  0%  577M 2m55s
  1000K .......... .......... .......... .......... ..........  0%  642M 2m47s
  1050K .......... .......... .......... .......... ..........  0%  475M 2m39s
  1100K .......... .......... .......... .......... ..........  0% 69.8M 2m33s
  1150K .......... .......... .......... .......... ..........  0% 11.9M 2m29s
  1200K .......... .......... .......... .......... ..........  0% 11.1M 2m25s
  1250K .......... .......... .......... .......... ..........  0% 11.3M 2m21s
  1300K .......... .......... .......... .......... ..........  0% 11.5M 2m18s
  1350K .......... .......... .......... .......... ..........  0% 11.1M 2m15s
  1400K .......... .......... .......... .......... ..........  0% 13.4M 2m12s
  1450K .......... .......... .......... .......... ..........  0% 11.2M 2m10s
  1500K .......... .......... .......... .......... ..........  0% 11.3M 2m7s
  1550K .......... .......... .......... .......... ..........  0% 11.1M 2m5s
  1600K .......... .......... .......... .......... ..........  0% 11.2M 2m3s
  1650K .......... .......... .......... .......... ..........  0%  247K 3m15s
  1700K .......... .......... .......... .......... ..........  0%  143M 3m10s
  1750K .......... .......... .......... .......... ..........  0%  149M 3m5s
  1800K .......... .......... .......... .......... ..........  0%  145M 3m0s
  1850K .......... .......... .......... .......... ..........  0%  202M 2m55s
  1900K .......... .......... .......... .......... ..........  0%  136M 2m51s
  1950K .......... .......... .......... .......... ..........  0%  166M 2m46s
  2000K .......... .......... .......... .......... ..........  0%  152M 2m43s
  2050K .......... .......... .......... .......... ..........  0%  197M 2m39s
  2100K .......... .......... .......... .......... ..........  0%  142M 2m35s
  2150K .......... .......... .......... .......... ..........  0%  167M 2m32s
  2200K .......... .......... .......... .......... ..........  0%  142M 2m28s
  2250K .......... .......... .......... .......... ..........  0%  516M 2m25s
  2300K .......... .......... .......... .......... ..........  0%  247K 3m17s
  2350K .......... .......... .......... .......... ..........  0%  149M 3m13s
  2400K .......... .......... .......... .......... ..........  0%  120M 3m9s
