--2016-10-02 17:25:11--  http://10.0.0.3:5004/625M.log
Connecting to 10.0.0.3:5004... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.12’

     0K .......... .......... .......... .......... ..........  0%  696K 15m20s
    50K .......... .......... .......... .......... ..........  0% 10.6M 8m9s
   100K .......... .......... .......... .......... ..........  0% 3.13M 6m33s
   150K .......... .......... .......... .......... ..........  0% 10.1M 5m10s
   200K .......... .......... .......... .......... ..........  0% 10.6M 4m20s
   250K .......... .......... .......... .......... ..........  0% 6.01M 3m54s
   300K .......... .......... .......... .......... ..........  0% 10.6M 3m29s
   350K .......... .......... .......... .......... ..........  0% 11.2M 3m10s
   400K .......... .......... .......... .......... ..........  0% 5.38M 3m2s
   450K .......... .......... .......... .......... ..........  0% 10.6M 2m49s
   500K .......... .......... .......... .......... ..........  0% 1.51M 3m11s
   550K .......... .......... .......... .......... ..........  0% 2.01M 3m21s
   600K .......... .......... .......... .......... ..........  0% 3.17M 3m21s
   650K .......... .......... .......... .......... ..........  0% 1.02M 3m51s
   700K .......... .......... .......... .......... ..........  0% 3.84M 3m46s
   750K .......... .......... .......... .......... ..........  0% 2.13M 3m50s
   800K .......... .......... .......... .......... ..........  0% 3.15M 3m48s
   850K .......... .......... .......... .......... ..........  0% 10.6M 3m39s
   900K .......... .......... .......... .......... ..........  0% 2.56M 3m40s
   950K .......... .......... .......... .......... ..........  0% 10.1M 3m32s
  1000K .......... .......... .......... .......... ..........  0% 1.59M 3m41s
  1050K .......... .......... .......... .......... ..........  0% 9.14M 3m34s
  1100K .......... .......... .......... .......... ..........  0% 1.26M 3m46s
  1150K .......... .......... .......... .......... ..........  0% 3.62M 3m44s
  1200K .......... .......... .......... .......... ..........  0% 1.04M 3m59s
  1250K .......... .......... .......... .......... ..........  0% 3.13M 3m57s
  1300K .......... .......... .......... .......... ..........  0% 10.9M 3m51s
  1350K .......... .......... .......... .......... ..........  0% 1.81M 3m55s
  1400K .......... .......... .......... .......... ..........  0% 10.1M 3m49s
  1450K .......... .......... .......... .......... ..........  0% 3.47M 3m47s
  1500K .......... .......... .......... .......... ..........  0% 10.6M 3m42s
  1550K .......... .......... .......... .......... ..........  0% 10.6M 3m36s
  1600K .......... .......... .......... .......... ..........  0% 2.02M 3m39s
  1650K .......... .......... .......... .......... ..........  0% 4.11M 3m37s
  1700K .......... .......... .......... .......... ..........  0% 1.18M 3m46s
  1750K .......... .......... .......... .......... ..........  0% 9.14M 3m42s
  1800K .......... .......... .......... .......... ..........  0% 10.1M 3m37s
  1850K .......... .......... .......... .......... ..........  0% 1.02M 3m48s
  1900K .......... .......... .......... .......... ..........  0% 2.78M 3m48s
  1950K .......... .......... .......... .......... ..........  0% 10.6M 3m43s
  2000K .......... .......... .......... .......... ..........  0% 2.37M 3m44s
  2050K .......... .......... .......... .......... ..........  0% 2.88M 3m44s
  2100K .......... .......... .......... .......... ..........  0% 10.9M 3m40s
  2150K .......... .......... .......... .......... ..........  0% 11.2M 3m37s
  2200K .......... .......... .......... .......... ..........  0% 1.87M 3m39s
  2250K .......... .......... .......... .......... ..........  0% 8.80M 3m36s
  2300K .......... .......... .......... .......... ..........  0% 1.67M 3m39s
  2350K .......... .......... .......... .......... ..........  0% 3.63M 3m38s
  2400K .......... .......... .......... .......... ..........  0% 2.12M 3m40s
  2450K .......... .......... .......... .......... ..........  0% 9.58M 3m37s
  2500K .......... .......... .......... .......... ..........  0% 1.01M 3m44s
  2550K .......... .......... .......... .......... ..........  0% 3.36M 3m44s
  2600K .......... .......... .......... .......... ..........  0% 10.6M 3m41s
  2650K .......... .......... .......... .......... ..........  0% 4.69M 3m39s
  2700K .......... .......... .......... .......... ..........  0% 1.76M 3m41s
  2750K .......... .......... .......... .......... ..........  0% 10.6M 3m38s
  2800K .......... .......... .......... .......... ..........  0% 10.1M 3m36s
  2850K .......... .......... .......... .......... ..........  0% 10.9M 3m33s
  2900K .......... .......... .......... .......... ..........  0% 1.19M 3m38s
  2950K .......... .......... .......... .......... ..........  0% 1.66M 3m41s
  3000K .......... .......... .......... .......... ..........  0% 11.2M 3m38s
  3050K .......... .......... .......... .......... ..........  0% 4.80M 3m37s
  3100K .......... .......... .......... .......... ..........  0% 9.16M 3m34s
  3150K .......... .......... .......... .......... ..........  0%  905K 3m42s
  3200K .......... .......... .......... .......... ..........  0% 10.6M 3m39s
  3250K .......... .......... .......... .......... ..........  0% 11.9M 3m37s
  3300K .......... .......... .......... .......... ..........  0% 3.53M 3m36s
  3350K .......... .......... .......... .......... ..........  0% 3.77M 3m35s
  3400K .......... .......... .......... .......... ..........  0% 3.61M 3m35s
  3450K .......... .......... .......... .......... ..........  0% 3.05M 3m34s
  3500K .......... .......... .......... .......... ..........  0% 10.7M 3m32s
  3550K .......... .......... .......... .......... ..........  0% 1.64M 3m35s
  3600K .......... .......... .......... .......... ..........  0% 2.18M 3m36s
  3650K .......... .......... .......... .......... ..........  0% 2.16M 3m37s
  3700K .......... .......... .......... .......... ..........  0% 5.05M 3m35s
  3750K .......... .......... .......... .......... ..........  0% 11.2M 3m33s
  3800K .......... .......... .......... .......... ..........  0% 8.41M 3m31s
  3850K .......... .......... .......... .......... ..........  0% 1005K 3m37s
  3900K .......... .......... .......... .......... ..........  0% 2.33M 3m37s
  3950K .......... .......... .......... .......... ..........  0% 8.24M 3m36s
  4000K .......... .......... .......... .......... ..........  0% 10.1M 3m34s
  4050K .......... .......... .......... .......... ..........  0% 11.2M 3m32s
  4100K .......... .......... .......... .......... ..........  0% 2.96M 3m32s
  4150K .......... .......... .......... .......... ..........  0% 9.17M 3m30s
  4200K .......... .......... .......... .......... ..........  0% 1.10M 3m34s
  4250K .......... .......... .......... .......... ..........  0% 3.92M 3m33s
  4300K .......... .......... .......... .......... ..........  0% 10.1M 3m32s
  4350K .......... .......... .......... .......... ..........  0% 11.2M 3m30s
  4400K .......... .......... .......... .......... ..........  0% 10.6M 3m28s
  4450K .......... .......... .......... .......... ..........  0% 9.18M 3m27s
  4500K .......... .......... .......... .......... ..........  0% 1015K 3m31s
  4550K .......... .......... .......... .......... ..........  0% 9.16M 3m30s
  4600K .......... .......... .......... .......... ..........  0% 10.1M 3m28s
  4650K .......... .......... .......... .......... ..........  0% 10.6M 3m26s
  4700K .......... .......... .......... .......... ..........  0% 10.6M 3m25s
  4750K .......... .......... .......... .......... ..........  0% 8.09M 3m23s
  4800K .......... .......... .......... .......... ..........  0% 10.1M 3m22s
  4850K .......... .......... .......... .......... ..........  0% 1.82M 3m23s
  4900K .......... .......... .......... .......... ..........  0% 10.6M 3m22s
  4950K .......... .......... .......... .......... ..........  0% 10.1M 3m20s
  5000K .......... .......... .......... .......... ..........  0% 11.1M 3m19s
  5050K .......... .......... .......... .......... ..........  0% 10.6M 3m18s
  5100K .......... .......... .......... .......... ..........  0% 5.05M 3m17s
  5150K .......... .......... .......... .......... ..........  0% 1.79M 3m18s
