PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=297 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=294 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=283 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=259 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=266 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=233 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=223 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=260 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=271 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=254 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=259 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=197 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=217 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=198 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=199 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=239 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=229 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=242 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=246 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=208 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=238 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=240 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=223 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=225 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=136 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=212 ms
